RowName,DisplayName,GameplayTag
Behaviour,"NSLOCTEXT(""Behaviour"", ""Behaviour"", ""Behaviour"")","(TagName=""Behaviour"")"
Behaviour.Travelling,"NSLOCTEXT(""Behaviour"", ""Behaviour.Travelling"", ""Behaviour Travelling"")","(TagName=""Behaviour.Travelling"")"
Behaviour.Travelling.DynamicBoarding,"NSLOCTEXT(""Behaviour_Travelling"", ""Behaviour.Travelling.DynamicBoarding"", ""Behaviour Travelling DynamicBoarding"")","(TagName=""Behaviour.Travelling.DynamicBoarding"")"
Behaviour.Travelling.Running,"NSLOCTEXT(""Behaviour_Travelling"", ""Behaviour.Travelling.Running"", ""Behaviour Travelling Running"")","(TagName=""Behaviour.Travelling.Running"")"
Behaviour.Travelling.Walking,"NSLOCTEXT(""Behaviour_Travelling"", ""Behaviour.Travelling.Walking"", ""Behaviour Travelling Walking"")","(TagName=""Behaviour.Travelling.Walking"")"
Behaviour.Travelling.Skiing,"NSLOCTEXT(""Behaviour_Travelling"", ""Behaviour.Travelling.Skiing"", ""Behaviour Travelling Skiing"")","(TagName=""Behaviour.Travelling.Skiing"")"
Behaviour.Travelling.Cruising,"NSLOCTEXT(""Behaviour_Travelling"", ""Behaviour.Travelling.Cruising"", ""Behaviour Travelling Cruising"")","(TagName=""Behaviour.Travelling.Cruising"")"
Behaviour.Travelling.Gliding,"NSLOCTEXT(""Behaviour_Travelling"", ""Behaviour.Travelling.Gliding"", ""Behaviour Travelling Gliding"")","(TagName=""Behaviour.Travelling.Gliding"")"
Behaviour.Travelling.Skating,"NSLOCTEXT(""Behaviour_Travelling"", ""Behaviour.Travelling.Skating"", ""Behaviour Travelling Skating"")","(TagName=""Behaviour.Travelling.Skating"")"
Behaviour.Stationary,"NSLOCTEXT(""Behaviour"", ""Behaviour.Stationary"", ""Behaviour Stationary"")","(TagName=""Behaviour.Stationary"")"
Behaviour.Stationary.Waiting,"NSLOCTEXT(""Behaviour_Stationary"", ""Behaviour.Stationary.Waiting"", ""Behaviour Stationary Waiting"")","(TagName=""Behaviour.Stationary.Waiting"")"
Behaviour.Stationary.StaticBoarding,"NSLOCTEXT(""Behaviour_Stationary"", ""Behaviour.Stationary.StaticBoarding"", ""Behaviour Stationary StaticBoarding"")","(TagName=""Behaviour.Stationary.StaticBoarding"")"
Behaviour.Stationary.Queueing,"NSLOCTEXT(""Behaviour_Stationary"", ""Behaviour.Stationary.Queueing"", ""Behaviour Stationary Queueing"")","(TagName=""Behaviour.Stationary.Queueing"")"
